"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","contrast","celltype"
2.32109558243057e-172,-0.910834784842628,0.793,0.966,6.90966943933756e-168,"MT-CO3","AD_vs_Ctrl","Astrocyte"
2.40821238896977e-134,1.56604832307787,0.764,0.414,7.1690074607241e-130,"MT1G","AD_vs_Ctrl","Astrocyte"
2.49407312281987e-134,-0.585608842718556,0.943,0.991,7.42460627932247e-130,"MT-RNR2","AD_vs_Ctrl","Astrocyte"
2.96521237263306e-123,-0.746926314920302,0.801,0.956,8.82714071209135e-119,"MT-CO2","AD_vs_Ctrl","Astrocyte"
1.83701212959906e-122,-0.727843280248593,0.825,0.962,5.46860140860343e-118,"MT-RNR1","AD_vs_Ctrl","Astrocyte"
4.67889760654154e-111,2.64820299488316,0.494,0.121,1.39286102849135e-106,"MT1H","AD_vs_Ctrl","Astrocyte"
7.17648424312092e-111,-7.94372087805128,0.002,0.257,2.13636759433467e-106,"MTND1P23","AD_vs_Ctrl","Astrocyte"
7.49854452122037e-110,-0.779472785804025,0.739,0.924,2.23224171852209e-105,"MT-ATP6","AD_vs_Ctrl","Astrocyte"
5.27979418357397e-109,-3.57126224732295,0.057,0.36,1.57174193050813e-104,"IFI6","AD_vs_Ctrl","Astrocyte"
1.29690142921273e-104,-0.814250030284199,0.707,0.911,3.86074586462337e-100,"MT-CYB","AD_vs_Ctrl","Astrocyte"
5.58825693571296e-104,-3.79748439651069,0.038,0.321,1.66356820719239e-99,"IFI44L","AD_vs_Ctrl","Astrocyte"
1.70256398447499e-101,1.12239097758613,0.801,0.576,5.06836272538361e-97,"CRYAB","AD_vs_Ctrl","Astrocyte"
2.26411038621787e-96,-0.986785017693254,0.593,0.763,6.74003020873198e-92,"F3","AD_vs_Ctrl","Astrocyte"
2.75027538716758e-96,-3.93627749822873,0.034,0.297,8.18729480005916e-92,"ISG15","AD_vs_Ctrl","Astrocyte"
1.15705798180735e-92,0.685347177415669,0.905,0.688,3.44444590604231e-88,"RANBP3L","AD_vs_Ctrl","Astrocyte"
1.2848821328157e-92,1.14223649341247,0.732,0.398,3.82496562117906e-88,"LINC00513","AD_vs_Ctrl","Astrocyte"
3.3950094186627e-90,0.851200688419336,0.823,0.595,1.0106603538417e-85,"DLC1","AD_vs_Ctrl","Astrocyte"
1.7600696603996e-89,-0.722288237926309,0.719,0.904,5.23955137204357e-85,"MT-ND4","AD_vs_Ctrl","Astrocyte"
3.17665069279825e-87,0.849018935905525,0.836,0.644,9.45657144739111e-83,"MT1E","AD_vs_Ctrl","Astrocyte"
6.94013397731499e-86,0.608393416256309,0.943,0.817,2.0660084837069e-81,"MT2A","AD_vs_Ctrl","Astrocyte"
1.41096351345348e-85,1.55948716199905,0.569,0.214,4.20029728319966e-81,"LSAMP-AS1","AD_vs_Ctrl","Astrocyte"
3.5723154271767e-83,1.09903830851764,0.725,0.476,1.06344257951623e-78,"HSPA1A","AD_vs_Ctrl","Astrocyte"
1.76354521173316e-82,1.51502138442695,0.584,0.247,5.24989774080843e-78,"DDIT4","AD_vs_Ctrl","Astrocyte"
1.1383095297103e-81,1.25351430659384,0.655,0.366,3.3886336389946e-77,"TMEM241","AD_vs_Ctrl","Astrocyte"
1.57626749210935e-78,-4.47335574191409,0.017,0.225,4.69239069726034e-74,"CHI3L2","AD_vs_Ctrl","Astrocyte"
2.87347615841923e-77,1.16360366720015,0.676,0.378,8.55405117599819e-73,"AC012404.1","AD_vs_Ctrl","Astrocyte"
1.22443492658317e-76,0.603896215803469,0.884,0.703,3.64502033294543e-72,"SLC39A11","AD_vs_Ctrl","Astrocyte"
2.98436000254363e-76,-0.817394086697491,0.629,0.828,8.88414129157214e-72,"MT-ND2","AD_vs_Ctrl","Astrocyte"
1.30915174862282e-72,-2.01770282935361,0.14,0.409,3.89721384047527e-68,"HLA-E","AD_vs_Ctrl","Astrocyte"
2.85917915409413e-71,-1.80261046046504,0.186,0.451,8.51149042382281e-67,"PLSCR1","AD_vs_Ctrl","Astrocyte"
6.11884790447658e-71,-1.19330326128562,0.368,0.638,1.82151983268363e-66,"MT-ND5","AD_vs_Ctrl","Astrocyte"
3.77793051399041e-69,-0.579075283167848,0.745,0.818,1.1246521347098e-64,"ATP1B2","AD_vs_Ctrl","Astrocyte"
5.91291134535489e-67,0.649155857235151,0.854,0.65,1.7602145783987e-62,"PNISR","AD_vs_Ctrl","Astrocyte"
9.69279621052619e-65,-1.69148358070396,0.233,0.479,2.88544850391154e-60,"HLA-A","AD_vs_Ctrl","Astrocyte"
2.35121065048944e-64,3.74210045822251,0.249,0.024,6.99931898544202e-60,"AC105402.3","AD_vs_Ctrl","Astrocyte"
6.01967719954882e-64,0.665565519562132,0.837,0.631,1.79199770553369e-59,"SLC7A11","AD_vs_Ctrl","Astrocyte"
6.45714398274865e-64,1.94928939863341,0.413,0.148,1.92222719222445e-59,"MT2P1","AD_vs_Ctrl","Astrocyte"
2.07065994394961e-63,-2.18739847061569,0.11,0.347,6.1641475871436e-59,"STAT1","AD_vs_Ctrl","Astrocyte"
2.84796719088371e-63,-3.29033333979851,0.028,0.217,8.47811353054173e-59,"CD74","AD_vs_Ctrl","Astrocyte"
5.11966499529644e-63,-2.54657020866105,0.059,0.275,1.5240730724498e-58,"TRIM22","AD_vs_Ctrl","Astrocyte"
1.36816779345637e-62,-2.8245239804275,0.036,0.234,4.07289870434026e-58,"SOCS3","AD_vs_Ctrl","Astrocyte"
2.57180943370164e-62,1.08794057913772,0.624,0.356,7.6560195031864e-58,"MYBPC1","AD_vs_Ctrl","Astrocyte"
5.90156340630941e-62,0.774565286594737,0.771,0.533,1.75683641042425e-57,"KIAA0930","AD_vs_Ctrl","Astrocyte"
3.30880929841167e-61,1.28687176474355,0.559,0.289,9.84999440044172e-57,"MT1F","AD_vs_Ctrl","Astrocyte"
6.57656807784327e-61,0.917674456802438,0.699,0.436,1.95777855109316e-56,"HSPB1","AD_vs_Ctrl","Astrocyte"
1.10234429095307e-60,0.614163979851622,0.863,0.644,3.28156871973819e-56,"FKBP5","AD_vs_Ctrl","Astrocyte"
1.86989346654526e-60,1.14435713871693,0.58,0.297,5.5664858605586e-56,"AC244669.1","AD_vs_Ctrl","Astrocyte"
3.99461332719383e-60,-0.726427078282778,0.623,0.808,1.18915644137233e-55,"MT-CO1","AD_vs_Ctrl","Astrocyte"
2.26234851306516e-59,1.04854737708263,0.619,0.352,6.73478528854368e-55,"TLR4","AD_vs_Ctrl","Astrocyte"
2.98505618013762e-59,0.661406547512937,0.821,0.591,8.88621374265169e-55,"ITGB8","AD_vs_Ctrl","Astrocyte"
1.82551206466996e-56,0.942507088910839,0.725,0.468,5.43436686531601e-52,"PDK4","AD_vs_Ctrl","Astrocyte"
5.73418614034886e-55,0.879243234264638,0.664,0.411,1.70700987212045e-50,"PDE4DIP","AD_vs_Ctrl","Astrocyte"
1.25643120870049e-54,1.30642605068672,0.506,0.253,3.74027006518048e-50,"NDUFB2","AD_vs_Ctrl","Astrocyte"
9.91133449768349e-54,1.24425404063634,0.519,0.266,2.9505051666154e-49,"HSPA1B","AD_vs_Ctrl","Astrocyte"
5.33711975515575e-52,-1.89360884380022,0.103,0.316,1.58880717991231e-47,"SERPING1","AD_vs_Ctrl","Astrocyte"
