"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","contrast","celltype"
2.9632708695069e-128,1.56819706764831,0.68,0.284,8.82136105143508e-124,"P2RY14","AD_vs_PD","Astrocyte"
5.20313687916709e-125,1.64432382472832,0.635,0.194,1.54892181755925e-120,"XIST","AD_vs_PD","Astrocyte"
2.55854615885183e-111,1.06989132651378,0.786,0.465,7.616536060286e-107,"HEPN1","AD_vs_PD","Astrocyte"
1.34542475257847e-103,-1.57899320945882,0.218,0.568,4.00519494595085e-99,"UTY","AD_vs_PD","Astrocyte"
2.24091695820528e-99,1.12460302424195,0.764,0.479,6.67098569288131e-95,"MT1G","AD_vs_PD","Astrocyte"
6.19767246124907e-93,0.850980332054212,0.836,0.601,1.84498511498924e-88,"MT1E","AD_vs_PD","Astrocyte"
1.27513788765267e-90,1.92812062577935,0.494,0.185,3.79595797775323e-86,"MT1H","AD_vs_PD","Astrocyte"
1.69304513689956e-89,0.637160698169958,0.943,0.751,5.04002606803631e-85,"MT2A","AD_vs_PD","Astrocyte"
8.95829796412736e-89,1.18826906725454,0.676,0.353,2.66679572094107e-84,"AC012404.1","AD_vs_PD","Astrocyte"
2.79704919463764e-87,0.996824108083105,0.732,0.436,8.3265357475168e-83,"LINC00513","AD_vs_PD","Astrocyte"
3.17640789576812e-84,1.01437188575127,0.742,0.447,9.45584866491212e-80,"MT1M","AD_vs_PD","Astrocyte"
1.8980890289234e-81,4.38654601831249,0.249,0.018,5.65042123020206e-77,"AC105402.3","AD_vs_PD","Astrocyte"
2.62810288566223e-80,1.10102470182076,0.725,0.464,7.82359948032789e-76,"PDK4","AD_vs_PD","Astrocyte"
1.28510455211704e-76,0.617319219908843,0.863,0.668,3.82562774119722e-72,"FKBP5","AD_vs_PD","Astrocyte"
2.72463640364418e-76,-1.57305368172123,0.188,0.474,8.11097011000836e-72,"TTTY14","AD_vs_PD","Astrocyte"
3.26872228125794e-73,1.01203810841061,0.693,0.404,9.73065935907676e-69,"AC079385.1","AD_vs_PD","Astrocyte"
1.18507150602498e-67,1.21052121847721,0.563,0.279,3.52783936628576e-63,"ZBTB20-AS5","AD_vs_PD","Astrocyte"
4.08945610507391e-66,1.16255359217101,0.612,0.348,1.21739018791945e-61,"ANGPTL4","AD_vs_PD","Astrocyte"
9.39977794634103e-62,0.975892069481973,0.635,0.351,2.79821989684626e-57,"AP000462.1","AD_vs_PD","Astrocyte"
9.05819050127364e-61,1.9429683741696,0.351,0.113,2.69653273032415e-56,"SRPX2","AD_vs_PD","Astrocyte"
1.7448632673777e-60,0.911853187542326,0.665,0.409,5.19428346065667e-56,"ID4","AD_vs_PD","Astrocyte"
1.88919227628392e-60,1.70951763677715,0.374,0.124,5.62393648726961e-56,"LRP4-AS1","AD_vs_PD","Astrocyte"
1.55818218957679e-59,1.08143206047334,0.573,0.298,4.63855256015115e-55,"GNG12-AS1","AD_vs_PD","Astrocyte"
2.29664281134473e-58,0.778996997018216,0.727,0.505,6.83687598509213e-54,"SRP14","AD_vs_PD","Astrocyte"
1.00549783096581e-57,2.36799347117124,0.27,0.061,2.99326649300213e-53,"AC023421.2","AD_vs_PD","Astrocyte"
1.56801988448796e-56,1.18697516136212,0.494,0.228,4.66783839413221e-52,"AC093879.1","AD_vs_PD","Astrocyte"
4.65233520917902e-56,1.0375747494069,0.569,0.306,1.3849536684205e-51,"LSAMP-AS1","AD_vs_PD","Astrocyte"
7.68842601210723e-55,1.0841803505328,0.545,0.286,2.2887675395442e-50,"RORA-AS1","AD_vs_PD","Astrocyte"
1.48673254553627e-54,1.35720458380904,0.445,0.199,4.42585411480693e-50,"AC058791.1","AD_vs_PD","Astrocyte"
5.25909734725859e-54,-0.693435232571934,0.587,0.728,1.56558068930541e-49,"COL5A3","AD_vs_PD","Astrocyte"
6.74241876248825e-54,1.50946513368878,0.413,0.184,2.00715064140513e-49,"MT2P1","AD_vs_PD","Astrocyte"
4.0877103825851e-53,1.94736055718737,0.306,0.094,1.21687050379176e-48,"GADD45G","AD_vs_PD","Astrocyte"
4.41061765219713e-52,-1.38616245934704,0.17,0.398,1.31299676888256e-47,"NLGN4Y","AD_vs_PD","Astrocyte"
8.02103663442262e-49,1.03037704240407,0.526,0.28,2.38778239570127e-44,"AP000311.1","AD_vs_PD","Astrocyte"
3.59846623120019e-48,-1.58142677361271,0.127,0.332,1.07122741236598e-43,"ANOS2P","AD_vs_PD","Astrocyte"
3.65726648420974e-48,1.12414778410177,0.469,0.226,1.0887316596844e-43,"AP002336.2","AD_vs_PD","Astrocyte"
5.79149221579671e-48,-1.87466452278523,0.099,0.288,1.72406931772052e-43,"SERPINH1","AD_vs_PD","Astrocyte"
8.7963864600185e-48,1.05806194521687,0.49,0.246,2.61859628528291e-43,"GLRX","AD_vs_PD","Astrocyte"
2.36949929107123e-47,1.29884289873642,0.416,0.191,7.05376243958996e-43,"ANKUB1","AD_vs_PD","Astrocyte"
8.086317182637e-47,1.12429169727939,0.49,0.256,2.40721576209921e-42,"GNA14-AS1","AD_vs_PD","Astrocyte"
2.26918636127466e-46,0.680914358135179,0.722,0.492,6.75514087887854e-42,"RHOB","AD_vs_PD","Astrocyte"
5.54300209481414e-45,1.20463660241531,0.417,0.194,1.65009629360522e-40,"AC104827.1","AD_vs_PD","Astrocyte"
8.20037428068701e-45,0.574954189877901,0.776,0.591,2.44116941961772e-40,"ITM2B","AD_vs_PD","Astrocyte"
8.75236094751676e-45,0.615284988235712,0.784,0.584,2.60549033046626e-40,"ITM2C","AD_vs_PD","Astrocyte"
2.3533482118815e-44,0.755747681436264,0.655,0.455,7.00568229195002e-40,"TMEM241","AD_vs_PD","Astrocyte"
1.07791237236232e-43,1.29580752449,0.405,0.194,3.2088373412854e-39,"JUNB","AD_vs_PD","Astrocyte"
2.59072960920474e-43,0.920956221784119,0.559,0.351,7.71234297364159e-39,"MT1F","AD_vs_PD","Astrocyte"
5.17117740441383e-43,1.2446659859217,0.39,0.175,1.53940780151995e-38,"A2ML1-AS1","AD_vs_PD","Astrocyte"
4.52464671875043e-42,0.588117462295201,0.786,0.564,1.34694208170482e-37,"GAPDH","AD_vs_PD","Astrocyte"
4.40035483753297e-41,-1.28125673959062,0.156,0.354,1.30994163158519e-36,"USP9Y","AD_vs_PD","Astrocyte"
1.8962212778375e-40,0.512946243981117,0.808,0.654,5.64486112199445e-36,"SLC14A1","AD_vs_PD","Astrocyte"
4.07397684793991e-40,-1.13735323380446,0.218,0.416,1.21278216786323e-35,"SPATA6L","AD_vs_PD","Astrocyte"
6.84060400918379e-40,1.55273377702651,0.307,0.124,2.03637940749392e-35,"MT1P3","AD_vs_PD","Astrocyte"
7.3913418055222e-40,1.05963476209831,0.445,0.232,2.2003285420859e-35,"HINT1","AD_vs_PD","Astrocyte"
2.34478788712934e-39,0.788736851848642,0.58,0.358,6.98019906119533e-35,"AC244669.1","AD_vs_PD","Astrocyte"
4.51478840956921e-39,1.64494645485883,0.27,0.094,1.34400736164466e-34,"AC007193.2","AD_vs_PD","Astrocyte"
1.93708771289974e-38,-0.927144898335829,0.467,0.557,5.76651641253125e-34,"HSPH1","AD_vs_PD","Astrocyte"
5.15412939348982e-37,1.23564333138474,0.375,0.187,1.53433277914798e-32,"RGCC","AD_vs_PD","Astrocyte"
1.06676425457362e-36,-0.765540305637678,0.53,0.613,3.1756505094402e-32,"BAG3","AD_vs_PD","Astrocyte"
1.45567477817622e-36,1.05928135094305,0.395,0.194,4.33339824715279e-32,"FN1","AD_vs_PD","Astrocyte"
1.6151629792863e-36,1.74868655747086,0.239,0.078,4.80817867303737e-32,"LINC00903","AD_vs_PD","Astrocyte"
3.3888178064552e-36,0.652339975727038,0.669,0.462,1.00881717280365e-31,"PCDH9-AS2","AD_vs_PD","Astrocyte"
