"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","celltype","contrast","direction"
"GO:0071276","cellular response to cadmium ion","9/779","12/8692",0.75,8.36842105263158,8.01379476925872,6.13136012136391e-08,0.000271373998971567,0.000271373998971567,"MT1E/SUMO1/MT1G/MT1M/MT1F/MT3/MT2A/SOD1/MT1H",9,"Astrocyte","AD_vs_Ctrl","Up"
"GO:0046686","response to cadmium ion","12/779","23/8692",0.521739130434783,5.82151029748284,7.26432951914379,1.32067107744592e-07,0.000292264509438783,0.000292264509438783,"NPC1/MT1E/SUMO1/MT1G/MT1M/SLC30A1/MT1F/GCLC/MT3/MT2A/SOD1/MT1H",12,"Astrocyte","AD_vs_Ctrl","Up"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","20/779","69/8692",0.289855072463768,3.23417238749047,5.84581481069677,1.47178042451409e-06,0.00162852503972484,0.00162852503972484,"COX7C/NDUFB1/COX7B/UQCRQ/NDUFB7/NDUFA6/COX6C/COX6B1/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/NDUFA8/NDUFS6/NDUFA12/NDUFB4/NDUFA1/NDUFB10/UQCRB",20,"Astrocyte","AD_vs_Ctrl","Up"
"GO:0097501","stress response to metal ion","8/779","13/8692",0.615384615384615,6.8663967611336,6.64111934908858,3.43965080101913e-06,0.00239118311291066,0.00239118311291066,"MT1E/MT1G/MT1M/SLC30A1/MT1F/MT3/MT2A/MT1H",8,"Astrocyte","AD_vs_Ctrl","Up"
"GO:0071294","cellular response to zinc ion","8/779","14/8692",0.571428571428571,6.37593984962406,6.31599266117131,7.39562266678657e-06,0.00409162824039967,0.00409162824039967,"MT1E/MT1G/HVCN1/MT1M/MT1F/MT3/MT2A/MT1H",8,"Astrocyte","AD_vs_Ctrl","Up"
"GO:0014902","myotube differentiation","20/779","78/8692",0.256410256410256,2.86099865047233,5.17993066674986,1.1590586929427e-05,0.00512999377496438,0.00512999377496438,"RPL35A/RPL23/MEF2C/ADAM12/DOCK5/RPL37A/RPL11/CAPN2/RPL32/RPL24/RIPOR2/SORT1/RPL30/NACA/RPL23A/COL6A1/RPL38/RPL10/RPLP2/RPLP1",20,"Astrocyte","AD_vs_Ctrl","Up"
"GO:0007520","myoblast fusion","16/779","55/8692",0.290909090909091,3.24593301435407,5.2423945690576,1.56527091936737e-05,0.00585920243838058,0.00585920243838058,"RPL35A/RPL23/ADAM12/DOCK5/RPL37A/RPL11/CAPN2/RPL32/RPL24/RIPOR2/RPL30/RPL23A/RPL38/RPL10/RPLP2/RPLP1",16,"Astrocyte","AD_vs_Ctrl","Up"
"GO:0006457","protein folding","29/779","141/8692",0.205673758865248,2.29488615154909,4.8636880292604,1.58857725396672e-05,0.00585920243838058,0.00585920243838058,"HSPA8/PPID/DNAJB6/PDIA6/PFDN2/HSPA1B/HSP90B1/TTC1/PFDN5/HSPB1/HSPA1A/NKTR/HSPH1/CRYAB/CCT5/FKBP5/PPIB/PTGES3/CWC27/RIC3/AHSA1/ERO1B/CHORDC1/CCT3/CMC1/HSP90AA1/DNAJA1/FKBP4/HSPA5",29,"Astrocyte","AD_vs_Ctrl","Up"
"GO:0061687","detoxification of inorganic compound","8/779","16/8692",0.5,5.57894736842105,5.7517353138064,2.69204592669882e-05,0.00916538097812998,0.00916538097812998,"MT1E/MT1G/MT1M/SLC30A1/MT1F/MT3/MT2A/MT1H",8,"Astrocyte","AD_vs_Ctrl","Up"
"GO:1902600","proton transmembrane transport","24/779","111/8692",0.216216216216216,2.41251778093883,4.69915188924648,3.60887890883898e-05,0.0106485987003476,0.0106485987003476,"NDUFB1/COX7B/ATP6V0E1/HVCN1/NDUFB7/SLC7A11/SLC15A2/NDUFA6/COX6B1/SPHK2/SLC17A5/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/NDUFA8/SLC25A27/NDUFS6/NDUFA12/NDUFB4/NDUFA1/NDUFB10/SLC25A18",24,"Astrocyte","AD_vs_Ctrl","Up"
