"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","contrast","celltype"
2.18098044377324e-168,-0.937383530334755,0.775,0.966,6.49256068306855e-164,"MT-CO3","PD_vs_Ctrl","Astrocyte"
8.72017449690066e-137,1.06917981540226,0.856,0.631,2.59590874598236e-132,"SLC7A11","PD_vs_Ctrl","Astrocyte"
1.25325815136397e-127,-0.579040111627778,0.937,0.991,3.73082419079539e-123,"MT-RNR2","PD_vs_Ctrl","Astrocyte"
5.11073928646116e-127,-0.801285666469648,0.779,0.956,1.52141597818662e-122,"MT-CO2","PD_vs_Ctrl","Astrocyte"
4.86377839536839e-118,1.48056394494155,0.728,0.36,1.44789819051722e-113,"COL5A3","PD_vs_Ctrl","Astrocyte"
4.35155185547014e-115,-0.748427992544757,0.791,0.962,1.29541347185491e-110,"MT-RNR1","PD_vs_Ctrl","Astrocyte"
4.70219940332908e-106,-0.800442238251889,0.726,0.924,1.39979774037703e-101,"MT-ATP6","PD_vs_Ctrl","Astrocyte"
1.38264889391259e-104,-1.49193515607385,0.348,0.687,4.11600749228838e-100,"ANGPTL4","PD_vs_Ctrl","Astrocyte"
9.93206637595055e-103,-3.70605016755886,0.048,0.36,2.95667683945672e-98,"IFI6","PD_vs_Ctrl","Astrocyte"
1.09856349368624e-102,-2.08251346909675,0.186,0.536,3.27031366435457e-98,"TXNIP","PD_vs_Ctrl","Astrocyte"
4.00787535363333e-98,-0.708176198163956,0.784,0.928,1.19310441402311e-93,"CST3","PD_vs_Ctrl","Astrocyte"
2.86875826539421e-97,-0.813081692050881,0.695,0.911,8.54000648025201e-93,"MT-CYB","PD_vs_Ctrl","Astrocyte"
1.36478369633606e-91,-4.27573378994899,0.026,0.297,4.06282458562283e-87,"ISG15","PD_vs_Ctrl","Astrocyte"
8.02327791528943e-91,-1.02712433946731,0.559,0.763,2.38844960260251e-86,"F3","PD_vs_Ctrl","Astrocyte"
6.08441627520748e-90,-5.86485813006824,0.009,0.257,1.81126988096651e-85,"MTND1P23","PD_vs_Ctrl","Astrocyte"
5.72856713383475e-82,-1.67723536214495,0.339,0.61,1.70533715007127e-77,"B2M","PD_vs_Ctrl","Astrocyte"
1.21761588334063e-77,-1.37548319616676,0.32,0.617,3.62472072311672e-73,"CEBPD","PD_vs_Ctrl","Astrocyte"
2.89377883618376e-77,-3.06049785698253,0.058,0.321,8.61449021743543e-73,"IFI44L","PD_vs_Ctrl","Astrocyte"
7.39669941249997e-77,-1.24327200755548,0.408,0.665,2.20192344810712e-72,"H3F3B","PD_vs_Ctrl","Astrocyte"
2.57838358476805e-76,1.45354085328767,0.568,0.232,7.675590093496e-72,"UTY","PD_vs_Ctrl","Astrocyte"
6.67045907023739e-75,-1.03342848503159,0.511,0.752,1.98572896061897e-70,"VIM","PD_vs_Ctrl","Astrocyte"
1.97869945873437e-74,-4.85538643357871,0.01,0.225,5.89039041870635e-70,"CHI3L2","PD_vs_Ctrl","Astrocyte"
6.24443024077578e-74,-0.869981012522038,0.57,0.797,1.85890443837654e-69,"CD81","PD_vs_Ctrl","Astrocyte"
1.74123310107149e-73,1.64358461210879,0.557,0.299,5.18347681857973e-69,"HSPH1","PD_vs_Ctrl","Astrocyte"
2.6358347124237e-72,-2.16976610874677,0.127,0.409,7.84661635541412e-68,"HLA-E","PD_vs_Ctrl","Astrocyte"
6.02205867729173e-72,-3.35691216655194,0.047,0.289,1.79270664764298e-67,"IFIT1","PD_vs_Ctrl","Astrocyte"
8.90093507575847e-72,-1.42708776834558,0.194,0.526,2.64971936270254e-67,"XIST","PD_vs_Ctrl","Astrocyte"
7.25185289963091e-71,-0.651549414693908,0.723,0.904,2.15880408969113e-66,"MT-ND4","PD_vs_Ctrl","Astrocyte"
1.99703200161294e-69,-0.52826795946449,0.825,0.944,5.94496456560158e-65,"APOE","PD_vs_Ctrl","Astrocyte"
1.53425500174232e-68,-0.818198275037599,0.578,0.828,4.56732371468672e-64,"MT-ND2","PD_vs_Ctrl","Astrocyte"
3.04584404794018e-68,-0.917887220327528,0.555,0.75,9.06717314631312e-64,"TUBB2B","PD_vs_Ctrl","Astrocyte"
3.47034215044921e-68,-0.873469372446708,0.564,0.784,1.03308615476723e-63,"GAPDH","PD_vs_Ctrl","Astrocyte"
4.6947490075468e-68,1.60352924222861,0.523,0.266,1.39757983205661e-63,"HSPA1B","PD_vs_Ctrl","Astrocyte"
3.89783997370428e-67,2.05098828325018,0.436,0.156,1.16034798177203e-62,"SH3BGR","PD_vs_Ctrl","Astrocyte"
3.61873806707934e-66,-1.79091736406709,0.213,0.479,1.07726213518885e-61,"HLA-A","PD_vs_Ctrl","Astrocyte"
3.86859156590727e-66,0.810392890624085,0.771,0.53,1.15164102325493e-61,"CNTN1","PD_vs_Ctrl","Astrocyte"
6.04847611008324e-66,-0.508910043963976,0.796,0.87,1.80057085321068e-61,"GLUL","PD_vs_Ctrl","Astrocyte"
9.25598233196049e-65,-0.802821514637223,0.584,0.777,2.75541338040132e-60,"ITM2C","PD_vs_Ctrl","Astrocyte"
2.16769841625112e-64,0.750262885537776,0.769,0.583,6.45302141533795e-60,"HIBCH","PD_vs_Ctrl","Astrocyte"
2.3393179934023e-64,-1.96818685211627,0.121,0.389,6.96391573455929e-60,"RASD1","PD_vs_Ctrl","Astrocyte"
1.89166636117962e-63,-2.64037608047758,0.088,0.328,5.63130159059561e-59,"IFIT3","PD_vs_Ctrl","Astrocyte"
3.17038356270212e-62,-1.24428825743948,0.401,0.624,9.43791482780793e-58,"SOD2","PD_vs_Ctrl","Astrocyte"
6.04229129088105e-60,-1.10937183007603,0.377,0.638,1.79872969438238e-55,"MT-ND5","PD_vs_Ctrl","Astrocyte"
1.76064757006035e-59,1.13477227425562,0.614,0.436,5.24127175131266e-55,"HSPB1","PD_vs_Ctrl","Astrocyte"
1.25300525841164e-58,-0.949345240168483,0.462,0.691,3.73007135376562e-54,"AGT","PD_vs_Ctrl","Astrocyte"
2.95672061989325e-58,-0.749396654594241,0.623,0.808,8.80186161336022e-54,"MT-CO1","PD_vs_Ctrl","Astrocyte"
7.87768534299035e-58,-0.553021096418191,0.738,0.818,2.3451081497548e-53,"ATP1B2","PD_vs_Ctrl","Astrocyte"
1.18887975143429e-57,0.913631909879353,0.685,0.456,3.53917613204474e-53,"FAM182B","PD_vs_Ctrl","Astrocyte"
1.73924883856108e-57,-1.48395373322074,0.194,0.463,5.17756986751248e-53,"JUNB","PD_vs_Ctrl","Astrocyte"
4.08248821398359e-57,0.739043600023298,0.772,0.563,1.21531591642077e-52,"EYA2","PD_vs_Ctrl","Astrocyte"
8.74332951863084e-57,-2.06913719625232,0.097,0.333,2.60280176440121e-52,"C10orf10","PD_vs_Ctrl","Astrocyte"
3.46065207531474e-56,-0.758533212197036,0.58,0.743,1.03020151630045e-51,"TSC22D4","PD_vs_Ctrl","Astrocyte"
2.9915134093283e-55,-2.01553887520271,0.11,0.347,8.90543626822941e-51,"STAT1","PD_vs_Ctrl","Astrocyte"
4.55412404551178e-55,0.573486564344769,0.836,0.677,1.3557171871084e-50,"PIK3C2A","PD_vs_Ctrl","Astrocyte"
8.50593578532758e-55,-2.87307475713127,0.051,0.254,2.53213202393417e-50,"MX1","PD_vs_Ctrl","Astrocyte"
1.23078601460736e-54,-1.09645254773018,0.378,0.611,3.66392688688465e-50,"IFITM3","PD_vs_Ctrl","Astrocyte"
3.10663898380386e-54,-0.912829938786171,0.467,0.674,9.24815359088572e-50,"PMP22","PD_vs_Ctrl","Astrocyte"
1.7908094811339e-53,1.00587871562368,0.631,0.454,5.33106074438751e-49,"PTGES3","PD_vs_Ctrl","Astrocyte"
3.05191519008608e-53,-2.67473939407467,0.04,0.234,9.08524632936725e-49,"SOCS3","PD_vs_Ctrl","Astrocyte"
1.04201935718214e-52,-3.1566049132709,0.033,0.217,3.10198742439552e-48,"CD74","PD_vs_Ctrl","Astrocyte"
1.41795748544085e-52,-1.77649929783631,0.169,0.405,4.22111763840885e-48,"PCSK1N","PD_vs_Ctrl","Astrocyte"
7.09336154547794e-51,-1.70869358275708,0.156,0.392,2.11162279847333e-46,"SELENOM","PD_vs_Ctrl","Astrocyte"
7.6967113295433e-51,-1.05647414021103,0.388,0.607,2.29123399569175e-46,"ENHO","PD_vs_Ctrl","Astrocyte"
4.88793217350177e-50,-2.26539387535101,0.101,0.312,1.45508852872974e-45,"RARRES3","PD_vs_Ctrl","Astrocyte"
1.1948596481135e-49,-0.792637130361013,0.492,0.708,3.55697768646908e-45,"RHOB","PD_vs_Ctrl","Astrocyte"
1.23314501566514e-49,1.10932618824852,0.596,0.476,3.67094939713357e-45,"HSPA1A","PD_vs_Ctrl","Astrocyte"
1.23835859662979e-49,0.70217490793462,0.75,0.552,3.68646970630721e-45,"TOM1L2","PD_vs_Ctrl","Astrocyte"
8.38470123299736e-49,-1.38599736405762,0.209,0.452,2.49604171005098e-44,"TMBIM1","PD_vs_Ctrl","Astrocyte"
1.2198425417695e-48,1.47211003551491,0.447,0.216,3.63134926259362e-44,"CHORDC1","PD_vs_Ctrl","Astrocyte"
1.2500966207677e-48,1.54096606131268,0.398,0.154,3.72141263036336e-44,"NLGN4Y","PD_vs_Ctrl","Astrocyte"
4.63464807089277e-48,0.576267004347583,0.848,0.636,1.37968838422407e-43,"RYR3","PD_vs_Ctrl","Astrocyte"
9.17452817923174e-48,0.95663843381337,0.662,0.576,2.7311652936755e-43,"CRYAB","PD_vs_Ctrl","Astrocyte"
2.31457785026765e-45,1.11584951238436,0.508,0.258,6.89026680246176e-41,"OLMALINC","PD_vs_Ctrl","Astrocyte"
2.72353678834103e-45,-1.63303976695654,0.144,0.364,8.10769666521241e-41,"ATP6V0E2","PD_vs_Ctrl","Astrocyte"
4.01150289527709e-45,1.19228257962312,0.474,0.215,1.19418429689504e-40,"TTTY14","PD_vs_Ctrl","Astrocyte"
8.4262488093566e-45,-1.49810864628016,0.222,0.436,2.50841000805737e-40,"RPL3P4","PD_vs_Ctrl","Astrocyte"
1.7544690551714e-44,0.609273168009047,0.759,0.605,5.22287893033976e-40,"MBNL2","PD_vs_Ctrl","Astrocyte"
1.81101921242755e-44,-0.919868677571111,0.44,0.626,5.39122309347559e-40,"TMBIM6","PD_vs_Ctrl","Astrocyte"
3.06945274527893e-44,0.826723134305678,0.649,0.428,9.13745387742086e-40,"NPAS2","PD_vs_Ctrl","Astrocyte"
1.06780311721464e-43,0.50572952274177,0.814,0.751,3.17874309963627e-39,"HMGB1","PD_vs_Ctrl","Astrocyte"
2.28848985127425e-43,1.32101705921539,0.471,0.266,6.81260543825832e-39,"DNAJB1","PD_vs_Ctrl","Astrocyte"
4.94567599535826e-43,-1.58094973702497,0.162,0.375,1.4722782870582e-38,"ZFP36","PD_vs_Ctrl","Astrocyte"
5.42649401404991e-43,-1.24884616257181,0.264,0.48,1.61541300304252e-38,"TUBB2A","PD_vs_Ctrl","Astrocyte"
1.55227649742412e-42,-1.33330212628271,0.246,0.451,4.62097190518185e-38,"PLSCR1","PD_vs_Ctrl","Astrocyte"
4.61044686899757e-42,-1.67192043103943,0.111,0.316,1.37248392843189e-37,"SERPING1","PD_vs_Ctrl","Astrocyte"
5.56845335754034e-42,-0.920587915735732,0.409,0.61,1.65767288000619e-37,"ID4","PD_vs_Ctrl","Astrocyte"
1.19185185382073e-41,0.607352318595485,0.77,0.606,3.54802378363894e-37,"CAMK2G","PD_vs_Ctrl","Astrocyte"
1.26424881124622e-41,1.38077398051404,0.418,0.199,3.76354228619886e-37,"JDP2","PD_vs_Ctrl","Astrocyte"
1.47045411021315e-41,0.502823689687951,0.829,0.678,4.37739484069354e-37,"LPIN1","PD_vs_Ctrl","Astrocyte"
1.53761292551436e-41,2.67136949664164,0.21,0.037,4.57731991796369e-37,"HSPE1-MOB4","PD_vs_Ctrl","Astrocyte"
1.84663736895726e-41,0.795813386426005,0.649,0.462,5.49725478364888e-37,"MIB1","PD_vs_Ctrl","Astrocyte"
5.04824495202163e-41,0.555765418027889,0.785,0.63,1.50281203976732e-36,"PTPN13","PD_vs_Ctrl","Astrocyte"
5.60245199350767e-41,-1.97589025692234,0.088,0.275,1.6677939339473e-36,"TRIM22","PD_vs_Ctrl","Astrocyte"
1.25912415963032e-40,1.21595812240137,0.455,0.238,3.7482867108035e-36,"AHSA2","PD_vs_Ctrl","Astrocyte"
1.83259929466725e-40,0.523202967627619,0.816,0.65,5.45546484029495e-36,"PNISR","PD_vs_Ctrl","Astrocyte"
1.8469807279708e-40,-1.00079854367437,0.354,0.566,5.49827692909628e-36,"PTTG1IP","PD_vs_Ctrl","Astrocyte"
3.07362911082683e-40,-1.88487532032688,0.078,0.262,9.1498865000204e-36,"HLA-C","PD_vs_Ctrl","Astrocyte"
3.15868266085989e-40,1.27734894133313,0.428,0.205,9.40308241311382e-36,"OSBPL3","PD_vs_Ctrl","Astrocyte"
6.15243079914111e-40,0.663444127248425,0.716,0.539,1.83151712459632e-35,"LIMCH1","PD_vs_Ctrl","Astrocyte"
9.1407799439135e-40,-1.53472538163442,0.177,0.381,2.72111878150361e-35,"CXCL14","PD_vs_Ctrl","Astrocyte"
1.02039575950835e-39,1.21511354913894,0.472,0.269,3.03761613648042e-35,"HSPA4L","PD_vs_Ctrl","Astrocyte"
2.03892917888337e-39,-1.51738894427497,0.161,0.365,6.06968827261791e-35,"GADD45B","PD_vs_Ctrl","Astrocyte"
2.30949675516945e-39,-1.49398718115197,0.156,0.361,6.87514089046394e-35,"PIK3IP1","PD_vs_Ctrl","Astrocyte"
3.92417175648383e-39,0.6468802606945,0.727,0.537,1.16818669018767e-34,"FRMD5","PD_vs_Ctrl","Astrocyte"
5.3176440944342e-39,-1.50776015345295,0.137,0.342,1.58300947047212e-34,"GSTM3","PD_vs_Ctrl","Astrocyte"
9.21191389773206e-39,0.635741630555916,0.718,0.537,2.74229464821586e-34,"PLEKHA7","PD_vs_Ctrl","Astrocyte"
1.14176286999636e-38,-1.59403512735694,0.113,0.31,3.39891388769216e-34,"SRPX2","PD_vs_Ctrl","Astrocyte"
1.42786556518576e-38,-0.649172071778326,0.591,0.719,4.25061300100149e-34,"ITM2B","PD_vs_Ctrl","Astrocyte"
1.43357882706912e-38,-1.17754210436143,0.283,0.486,4.26762081030206e-34,"RPL15","PD_vs_Ctrl","Astrocyte"
1.79678083985908e-38,1.30740510779263,0.381,0.166,5.3488368821765e-34,"STIP1","PD_vs_Ctrl","Astrocyte"
3.33253172045718e-38,-1.97891605086891,0.072,0.246,9.92061367862897e-34,"THSD4","PD_vs_Ctrl","Astrocyte"
3.74972216718374e-38,-1.25282081675899,0.221,0.433,1.11625479194893e-33,"PPDPF","PD_vs_Ctrl","Astrocyte"
4.71091186370871e-38,-1.49722657445161,0.147,0.347,1.40239135270745e-33,"TUBB4B","PD_vs_Ctrl","Astrocyte"
6.51356483612158e-38,-1.27960307199944,0.209,0.417,1.93902311606503e-33,"LAPTM4A","PD_vs_Ctrl","Astrocyte"
9.04986218944905e-38,0.532046043521148,0.8,0.63,2.69405347517709e-33,"ZHX2","PD_vs_Ctrl","Astrocyte"
1.02699867002293e-37,-0.707555691363765,0.56,0.691,3.05727234079126e-33,"ACTG1","PD_vs_Ctrl","Astrocyte"
2.96700740730194e-37,-1.6119087338075,0.15,0.343,8.83248435079714e-33,"PCP4","PD_vs_Ctrl","Astrocyte"
3.78173747104485e-37,-1.09074479860292,0.278,0.488,1.12578542775534e-32,"ZFP36L2","PD_vs_Ctrl","Astrocyte"
4.27236292555218e-37,0.771273840188148,0.625,0.431,1.27183971930763e-32,"RFX2","PD_vs_Ctrl","Astrocyte"
4.3088140510545e-37,1.81934110283249,0.288,0.101,1.28269085485841e-32,"SERPINH1","PD_vs_Ctrl","Astrocyte"
8.81055701832409e-37,1.76539358032547,0.285,0.098,2.6228147187849e-32,"ARL17A","PD_vs_Ctrl","Astrocyte"
8.84417989671594e-37,0.583198590384223,0.745,0.57,2.63282391345337e-32,"ATG7","PD_vs_Ctrl","Astrocyte"
2.21414180158536e-36,0.569791257371973,0.736,0.576,6.59127872913946e-32,"SRGAP1","PD_vs_Ctrl","Astrocyte"
5.31200967145296e-36,-0.690413836363759,0.551,0.69,1.58133215909483e-31,"METRN","PD_vs_Ctrl","Astrocyte"
2.3250247025226e-35,1.46726590069574,0.332,0.136,6.92136603693953e-31,"ANOS2P","PD_vs_Ctrl","Astrocyte"
4.45093126508301e-35,-2.15835942026816,0.054,0.208,1.32499772830256e-30,"ID1","PD_vs_Ctrl","Astrocyte"
5.72452027055242e-35,-0.56759342243447,0.602,0.779,1.70413243934075e-30,"MT-ND1","PD_vs_Ctrl","Astrocyte"
