"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"AD (Up)","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","23/407","138/9400",0.166666666666667,3.84930384930385,7.17317873566509,2.16122959958152e-08,4.39152057448856e-06,4.39152057448856e-06,"COX7C/NDUFB1/COX7B/UQCRQ/ATP6V0E1/NDUFB7/NDUFA6/COX6C/COX6B1/NDUFB3/NDUFC1/COX4I1/UQCRH/COX17/NDUFB2/NDUFA8/NDUFS6/NDUFA12/NDUFB4/NDUFA1/NDUFB10/PPA2/UQCRB",23
"AD (Up)","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","31/407","235/9400",0.131914893617021,3.04668304668305,6.75933578272243,2.50229092563451e-08,4.39152057448856e-06,4.39152057448856e-06,"COX7C/NDUFAF2/SOS1/RPS6KA2/NDUFB1/COA5/COA6/COX7B/UQCRQ/NDUFB7/SLC25A29/NDUFA6/KDM3A/COX6C/COX6B1/NDUFB3/NDUFC1/COX4I1/UQCRH/COX17/NDUFB2/ACSL3/NDUFA8/PPARGC1A/NDUFS6/NDUFA12/NDUFB4/ADCY8/NDUFA1/NDUFB10/UQCRB",31
"AD (Up)","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","24/407","157/9400",0.152866242038217,3.53057168343793,6.80217383466397,5.98407019114222e-08,7.0013621236364e-06,7.0013621236364e-06,"COX7C/ADIPOR2/NDUFB1/RXRA/COX7B/IRS2/UQCRQ/NDUFB7/NDUFA6/COX6C/COX6B1/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/NDUFA8/SREBF1/NDUFS6/NDUFA12/NDUFB4/NDUFA1/NDUFB10/UQCRB",24
"AD (Up)","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","32/407","275/9400",0.116363636363636,2.68751396024123,6.04203194826832,2.89823668959383e-07,2.54320269511858e-05,2.54320269511858e-05,"COX7C/HSPA8/NDUFB1/HSPA1B/ATF6B/FYN/COX7B/SEM1/UQCRQ/NDUFB7/HSPA1A/NDUFA6/RYR3/COX6C/COX6B1/STIP1/HSPA5/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/PSMA3/CACNA1B/NDUFA8/NDUFS6/NDUFA12/NDUFB4/NDUFA1/SOD1/NDUFB10/UQCRB",32
"AD (Up)","Genetic Information Processing","Translation","hsa03010","Ribosome","27/407","223/9400",0.121076233183857,2.79635526272298,5.77537287813333,1.16162181181648e-06,8.15458511895169e-05,8.15458511895168e-05,"RPL35A/RPL23/RPS29/RPL37A/RPL11/MRPS33/RPL36AL/RPS13/RPL32/MRPL34/RPL24/MRPL51/RPS27A/MRPL20/MRPL33/RPL30/RPL23A/MRPS16/RPS24/RPS25/RPS23/MRPS31/MRPS5/RPL38/RPLP1/RPL10/RPLP2",27
"AD (Up)","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","30/407","268/9400",0.111940298507463,2.58535333162199,5.60139562616666,1.57204705888772e-06,8.26256820810582e-05,8.26256820810582e-05,"COX7C/CAMK2G/NDUFB1/COX7B/SEM1/UQCRQ/PLCG1/NDUFB7/NDUFA6/SLC39A11/RPS27A/RYR3/COX6C/COX6B1/HSPA5/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/PSMA3/NDUFA8/NDUFS6/NDUFA12/SLC39A12/NDUFB4/NDUFA1/SOD1/NDUFB10/UQCRB",30
"AD (Up)","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","27/407","227/9400",0.118942731277533,2.74708028011993,5.66833913768788,1.64780562554817e-06,8.26256820810582e-05,8.26256820810582e-05,"COX7C/SOS1/NDUFB1/PTPRJ/COX7B/UQCRQ/NDUFB7/NDUFA6/COX6C/COX6B1/NDUFB3/VEGFA/NDUFC1/COX4I1/UQCRH/NDUFB2/NQO1/NDUFA8/EGFR/NDUFS6/NDUFA12/NDUFB4/NDUFA1/SOD1/NDUFB10/PTEN/UQCRB",27
"AD (Up)","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","24/407","205/9400",0.117073170731707,2.70390124048661,5.24724346742553,8.27473211111028e-06,0.000363053871374964,0.000363053871374964,"COX7C/CAMK2G/NDUFB1/COX7B/PDK3/UQCRQ/NDUFB7/NDUFA6/PDK4/COX6C/COX6B1/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/NDUFA8/NDUFS6/NDUFA12/NDUFB4/NDUFA1/NDUFB10/PTEN/UQCRB",24
"AD (Up)","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","29/407","308/9400",0.0941558441558442,2.17460672006127,4.45886022666703,6.52450911764127e-05,0.00232454405319797,0.00232454405319797,"COX7C/POLR2L/NDUFB1/COX7B/SEM1/UQCRQ/NDUFB7/NDUFA6/COX6C/CREBBP/COX6B1/NRF1/HAP1/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/PSMA3/CACNA1B/NDUFA8/PPARGC1A/NDUFS6/NDUFA12/NDUFB4/NDUFA1/SOD1/NDUFB10/UQCRB",29
"AD (Up)","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","20/407","175/9400",0.114285714285714,2.63952263952264,4.65735119335279,6.62263263019364e-05,0.00232454405319797,0.00232454405319797,"HSPA8/PDIA6/UBE2D3/HSPA1B/ATF6B/HSP90B1/CAPN2/HSPA1A/ERLEC1/TMEM258/UBXN2A/CRYAB/HSPA5/OST4/HSPH1/ERO1B/SEC61G/DNAJC1/HSP90AA1/DNAJA1",20
"AD (Up)","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","18/407","149/9400",0.120805369127517,2.79009943439474,4.68556192318316,7.41353881337216e-05,0.00236559283953966,0.00236559283953966,"NAPEPLD/NDUFB1/NDUFB7/GNG7/NDUFA6/GNG5/NDUFB3/NDUFC1/NDUFB2/CACNA1B/NDUFA8/GABRG1/NDUFS6/NDUFA12/NDUFB4/ADCY8/NDUFA1/NDUFB10",18
"AD (Up)","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","32/407","368/9400",0.0869565217391304,2.00833244311505,4.19779686075086,0.000126445016745398,0.00369851673980289,0.00369851673980289,"NUP210L/COX7C/NDUFB1/COX7B/SEM1/UQCRQ/SRSF3/NDUFB7/NDUFA6/ATXN2L/COX6C/COX6B1/HNRNPA2B1/HSPA5/CCS/HAP1/C9orf72/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/PSMA3/NDUFA8/NUP88/NDUFS6/NDUFA12/NDUFB4/NDUFA1/SOD1/NDUFB10/UQCRB",32
"AD (Up)","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","12/407","87/9400",0.137931034482759,3.18563077183767,4.35689761237963,0.000344195191714161,0.00929327017628234,0.00929327017628234,"COX7C/ATP1B3/COX7B/UQCRQ/COX6C/COX6B1/CACNA2D3/TRDN/COX4I1/UQCRH/TPM1/UQCRB",12
"AD (Up)","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","20/407","203/9400",0.0985221674876847,2.27545055131262,3.90817753755689,0.000495801416327146,0.0124304497950592,0.0124304497950592,"PDGFRB/ARHGAP5/TLN2/PPP1R12B/SOS1/ITGAV/COL4A5/FYN/CAPN2/ITGB5/ITGA9/MYL12A/FLNB/COL6A1/VEGFA/ITGB8/EGFR/VAV3/LAMA2/PTEN",20
"AD (Up)","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","22/407","239/9400",0.0920502092050209,2.12597534773267,3.75095732978548,0.000673208780908192,0.0157530854732517,0.0157530854732517,"RPL35A/RPL23/RPS29/TLR4/RPL37A/RPL11/RPL36AL/RPS13/PLCG1/RPL32/RPL24/RPS27A/RPL30/RPL23A/RPS24/RPS25/RPS23/EGFR/RPL38/RPLP1/RPL10/RPLP2",22
"AD (Up)","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","36/407","480/9400",0.075,1.73218673218673,3.5030455063169,0.000861034183878274,0.0188889374088296,0.0188889374088296,"COX7C/PPID/CAMK2G/NDUFB1/CAPN2/COX7B/SEM1/UQCRQ/PLCG1/NDUFB7/NDUFA6/RPS27A/ATXN2L/RYR3/FZD3/COX6C/COX6B1/HSPA5/CCS/HAP1/C9orf72/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/PSMA3/CACNA1B/NDUFA8/NDUFS6/NDUFA12/NDUFB4/NDUFA1/SOD1/NDUFB10/UQCRB",36
"AD (Up)","Organismal Systems","Digestive system","hsa04978","Mineral absorption","9/407","61/9400",0.147540983606557,3.40758045676078,4.01311192079275,0.00114821199072372,0.0237072005143545,0.0237072005143545,"MT1E/MT1G/ATP1B3/MT1M/SLC30A1/HEPH/MT1F/MT2A/MT1H",9
"AD (Up)","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","9/407","63/9400",0.142857142857143,3.2994032994033,3.89553829674429,0.00145207602960788,0.0283154825773537,0.0283154825773537,"NUMB/DTX3/KAT2B/SPEN/TLE4/RBPJ/CREBBP/CTBP2/KAT2A",9
"AD (Up)","Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","8/407","56/9400",0.142857142857143,3.2994032994033,3.67137276171759,0.00263996177707718,0.0487698201975837,0.0487698201975837,"SMURF1/PTCH2/EFCAB7/GRK3/ARRB1/PTCH1/CUL3/MGRN1",8
"AD (Up)","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","29/407","388/9400",0.0747422680412371,1.726234200461,3.10790475708738,0.00284689139894743,0.0498990747799419,0.0498990747799419,"COX7C/PPID/NDUFB1/CAPN2/COX7B/SEM1/IRS2/UQCRQ/NDUFB7/NDUFA6/SLC39A11/RYR3/FZD3/COX6C/COX6B1/NDUFB3/NDUFC1/COX4I1/UQCRH/NDUFB2/PSMA3/NDUFA8/NDUFS6/NDUFA12/SLC39A12/NDUFB4/NDUFA1/NDUFB10/UQCRB",29
"AD (Up)","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","10/407","83/9400",0.120481927710843,2.78262928865338,3.47014617220782,0.00298541473042387,0.0498990747799419,0.0498990747799419,"UBE2D3/PHC1/SFMBT2/MAX/CREBBP/YAF2/ASXL2/LCOR/USP45/OGT",10
"AD (Down)","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","20/168","268/9400",0.0746268656716418,4.17555081734186,7.11460970387115,5.73450329929532e-08,1.63703779076002e-05,1.63703779076002e-05,"MT-ND1/MT-CO2/TUBA1B/TUBB/MT-ND2/TUBA1A/MT-ND3/MT-CYB/TUBB2A/SLC39A14/MT-ND4/MAOB/GNAI2/MT-ATP6/MT-CO3/TUBB4B/MT-ND4L/TUBB2B/MT-ND5/MT-CO1",20
"AD (Down)","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","17/168","200/9400",0.085,4.75595238095238,7.24250376153732,9.32785065960123e-08,1.63703779076002e-05,1.63703779076002e-05,"TMBIM6/TUBA1B/TUBB/TUBA1A/TNFRSF1A/TUBB2A/GAPDH/EZR/ACTB/CASP7/NCL/FAS/ACTG1/ARF1/MYH9/TUBB4B/TUBB2B",17
"AD (Down)","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","23/168","388/9400",0.0592783505154639,3.31676485027001,6.28687455167655,3.71802562736792e-07,4.35008998402047e-05,4.35008998402047e-05,"MT-ND1/MT-CO2/TUBA1B/TUBB/MT-ND2/TUBA1A/MT-ND3/TNFRSF1A/MT-CYB/TUBB2A/GAPDH/SLC39A14/CASP7/MT-ND4/FAS/APC2/MT-ATP6/MT-CO3/TUBB4B/MT-ND4L/TUBB2B/MT-ND5/MT-CO1",23
"AD (Down)","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","18/168","275/9400",0.0654545454545455,3.66233766233766,6.04450323000392,1.88861124334435e-06,0.000163580496567957,0.000163580496567956,"MT-ND1/MT-CO2/TUBA1B/TUBB/MT-ND2/TUBA1A/MT-ND3/MT-CYB/TUBB2A/MT-ND4/MT-ATP6/MT-CO3/TUBB4B/MT-ND4L/TUBB2B/MT-ND5/PRNP/MT-CO1",18
"AD (Down)","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","19/168","308/9400",0.0616883116883117,3.45160791589363,5.90125290785712,2.33020650381704e-06,0.000163580496567957,0.000163580496567956,"MT-ND1/MT-CO2/TUBA1B/TUBB/MT-ND2/TUBA1A/MT-ND3/MT-CYB/TUBB2A/MT-ND4/SOD2/MT-ATP6/SLC1A3/MT-CO3/TUBB4B/MT-ND4L/TUBB2B/MT-ND5/MT-CO1",19
"AD (Down)","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","16/168","239/9400",0.0669456066945607,3.74576608886232,5.80014183356438,5.45500416471865e-06,0.000272650779275572,0.000272650779275572,"NRP1/STAT1/TNFRSF1A/RPL7A/MX1/RPL28/ISG15/RPS2/C1S/RPL15/C1R/RPL13/RPS19/C3/RPL18/RPSA",16
"AD (Down)","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","12/168","137/9400",0.0875912408759124,4.90093847758081,6.20441901726673,5.76218149858298e-06,0.000272650779275572,0.000272650779275572,"DAB2IP/TUBA1B/TUBA1A/TNFRSF1A/ACTB/CASP7/GADD45A/MCL1/FAS/ACTG1/GADD45B/MAP3K14",12
"AD (Down)","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","12/168","138/9400",0.0869565217391304,4.86542443064182,6.17066415089892,6.21426277551162e-06,0.000272650779275572,0.000272650779275572,"MT-ND1/MT-CO2/MT-ND2/MT-ND3/MT-CYB/MT-ND4/MT-ATP6/MT-CO3/ATP6V0E2/MT-ND4L/MT-ND5/MT-CO1",12
"AD (Down)","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","20/168","368/9400",0.0543478260869565,3.04089026915114,5.38764743086234,8.53263414202741e-06,0.000332772731539069,0.000332772731539069,"MT-ND1/MT-CO2/TUBA1B/TUBB/MT-ND2/TUBA1A/MT-ND3/TNFRSF1A/MT-CYB/TUBB2A/ACTB/MT-ND4/ACTG1/MT-ATP6/MT-CO3/TUBB4B/MT-ND4L/TUBB2B/MT-ND5/MT-CO1",20
"AD (Down)","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","15/168","227/9400",0.066079295154185,3.69729389553178,5.54923439069693,1.27052432853979e-05,0.000445954039317466,0.000445954039317466,"MT-ND1/MT-CO2/MT-ND2/MT-ND3/CBR1/MT-CYB/GSTM3/MT-ND4/SOD2/MT-ATP6/MT-CO3/MT-ND4L/MAP3K14/MT-ND5/MT-CO1",15
"AD (Down)","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","14/168","205/9400",0.0682926829268293,3.82113821138211,5.50900282210549,1.72715837483748e-05,0.000551120535970869,0.000551120535970869,"MT-ND1/MT-CO2/AGT/MT-ND2/MT-ND3/MT-CYB/GAPDH/MT-ND4/SMAD3/MT-ATP6/MT-CO3/MT-ND4L/MT-ND5/MT-CO1",14
"AD (Down)","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","22/168","480/9400",0.0458333333333333,2.56448412698413,4.74631896384401,4.24906844191051e-05,0.00124285251925882,0.00124285251925882,"MT-ND1/MT-CO2/TUBA1B/TUBB/MT-ND2/TUBA1A/MT-ND3/TNFRSF1A/MT-CYB/TUBB2A/CASP7/MT-ND4/FAS/APC2/MT-ATP6/MT-CO3/TUBB4B/MT-ND4L/TUBB2B/MT-ND5/PRNP/MT-CO1",22
"AD (Down)","Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","15/168","259/9400",0.0579150579150579,3.24048538334253,4.93222307074432,5.93970712412374e-05,0.00160372092351341,0.00160372092351341,"HLA-E/LAMP1/TUBA1B/TUBB/TUBA1A/TUBB2A/ACTB/HLA-C/COLEC12/ACTG1/C3/TUBB4B/ATP6V0E2/TUBB2B/HLA-A",15
"AD (Down)","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","12/168","180/9400",0.0666666666666667,3.73015873015873,4.9889167534954,8.86399871722279e-05,0.00222233110696086,0.00222233110696086,"HLA-E/STAT1/TNFRSF1A/HLA-C/B2M/FAS/PML/CD74/C3/BST2/SOCS3/HLA-A",12
"AD (Down)","Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","15/168","299/9400",0.0501672240802676,2.80697563306259,4.28342237466637,0.00029158961039678,0.00621111921416114,0.00621111921416114,"NRP1/TUBA1B/TUBB/TUBA1A/MBP/PMP22/TUBB2A/EZR/ACTB/ACTG1/PMP2/MYH9/TUBB4B/ACTN1/TUBB2B",15
"AD (Down)","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","13/168","235/9400",0.0553191489361702,3.0952380952381,4.38781841012867,0.000293377903806659,0.00621111921416114,0.00621111921416114,"MT-ND1/MT-CO2/MT-ND2/MT-ND3/MT-CYB/ACTB/MT-ND4/ACTG1/MT-ATP6/MT-CO3/MT-ND4L/MT-ND5/MT-CO1",13
"AD (Down)","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","12/168","205/9400",0.0585365853658537,3.27526132404181,4.44303685817401,0.000300823437722904,0.00621111921416114,0.00621111921416114,"CD44/HLA-E/STAT1/VIM/ISG15/HLA-C/GADD45A/B2M/FAS/GADD45B/MAP3K14/HLA-A",12
