"","dataset","gene","cells"
"MALAT1","counts.GSM4888887_CTRL1","MALAT1",4341
"MT-RNR2","counts.GSM4888887_CTRL1","MT-RNR2",4558
"KCNIP4","counts.GSM4888887_CTRL1","KCNIP4",1922
"RBFOX1","counts.GSM4888887_CTRL1","RBFOX1",2252
"MT-RNR1","counts.GSM4888887_CTRL1","MT-RNR1",4469
"MT-CO3","counts.GSM4888887_CTRL1","MT-CO3",4407
"PHACTR1","counts.GSM4888887_CTRL1","PHACTR1",2462
"MT-CO2","counts.GSM4888887_CTRL1","MT-CO2",4340
"MACROD2","counts.GSM4888887_CTRL1","MACROD2",1928
"ROBO2","counts.GSM4888887_CTRL1","ROBO2",1606
"MALAT11","counts.GSM4888888_CTRL2","MALAT1",4341
"MT-RNR21","counts.GSM4888888_CTRL2","MT-RNR2",4558
"KCNIP41","counts.GSM4888888_CTRL2","KCNIP4",1922
"RBFOX11","counts.GSM4888888_CTRL2","RBFOX1",2252
"MT-RNR11","counts.GSM4888888_CTRL2","MT-RNR1",4469
"MT-CO31","counts.GSM4888888_CTRL2","MT-CO3",4407
"PHACTR11","counts.GSM4888888_CTRL2","PHACTR1",2462
"MT-CO21","counts.GSM4888888_CTRL2","MT-CO2",4340
"MACROD21","counts.GSM4888888_CTRL2","MACROD2",1928
"ROBO21","counts.GSM4888888_CTRL2","ROBO2",1606
"MALAT12","counts.GSM4888889_CTRL3","MALAT1",4341
"MT-RNR22","counts.GSM4888889_CTRL3","MT-RNR2",4558
"KCNIP42","counts.GSM4888889_CTRL3","KCNIP4",1922
"RBFOX12","counts.GSM4888889_CTRL3","RBFOX1",2252
"MT-RNR12","counts.GSM4888889_CTRL3","MT-RNR1",4469
"MT-CO32","counts.GSM4888889_CTRL3","MT-CO3",4407
"PHACTR12","counts.GSM4888889_CTRL3","PHACTR1",2462
"MT-CO22","counts.GSM4888889_CTRL3","MT-CO2",4340
"MACROD22","counts.GSM4888889_CTRL3","MACROD2",1928
"ROBO22","counts.GSM4888889_CTRL3","ROBO2",1606
"MALAT13","counts.GSM4888890_CTRL4","MALAT1",4341
"MT-RNR23","counts.GSM4888890_CTRL4","MT-RNR2",4558
"KCNIP43","counts.GSM4888890_CTRL4","KCNIP4",1922
"RBFOX13","counts.GSM4888890_CTRL4","RBFOX1",2252
"MT-RNR13","counts.GSM4888890_CTRL4","MT-RNR1",4469
"MT-CO33","counts.GSM4888890_CTRL4","MT-CO3",4407
"PHACTR13","counts.GSM4888890_CTRL4","PHACTR1",2462
"MT-CO23","counts.GSM4888890_CTRL4","MT-CO2",4340
"MACROD23","counts.GSM4888890_CTRL4","MACROD2",1928
"ROBO23","counts.GSM4888890_CTRL4","ROBO2",1606
"MALAT14","counts.GSM4888891_AD1","MALAT1",4341
"MT-RNR24","counts.GSM4888891_AD1","MT-RNR2",4558
"KCNIP44","counts.GSM4888891_AD1","KCNIP4",1922
"RBFOX14","counts.GSM4888891_AD1","RBFOX1",2252
"MT-RNR14","counts.GSM4888891_AD1","MT-RNR1",4469
"MT-CO34","counts.GSM4888891_AD1","MT-CO3",4407
"PHACTR14","counts.GSM4888891_AD1","PHACTR1",2462
"MT-CO24","counts.GSM4888891_AD1","MT-CO2",4340
"MACROD24","counts.GSM4888891_AD1","MACROD2",1928
"ROBO24","counts.GSM4888891_AD1","ROBO2",1606
"MALAT15","counts.GSM4888892_AD2","MALAT1",4341
"MT-RNR25","counts.GSM4888892_AD2","MT-RNR2",4558
"KCNIP45","counts.GSM4888892_AD2","KCNIP4",1922
"RBFOX15","counts.GSM4888892_AD2","RBFOX1",2252
"MT-RNR15","counts.GSM4888892_AD2","MT-RNR1",4469
"MT-CO35","counts.GSM4888892_AD2","MT-CO3",4407
"PHACTR15","counts.GSM4888892_AD2","PHACTR1",2462
"MT-CO25","counts.GSM4888892_AD2","MT-CO2",4340
"MACROD25","counts.GSM4888892_AD2","MACROD2",1928
"ROBO25","counts.GSM4888892_AD2","ROBO2",1606
"MALAT16","counts.GSM4888893_AD3","MALAT1",4341
"MT-RNR26","counts.GSM4888893_AD3","MT-RNR2",4558
"KCNIP46","counts.GSM4888893_AD3","KCNIP4",1922
"RBFOX16","counts.GSM4888893_AD3","RBFOX1",2252
"MT-RNR16","counts.GSM4888893_AD3","MT-RNR1",4469
"MT-CO36","counts.GSM4888893_AD3","MT-CO3",4407
"PHACTR16","counts.GSM4888893_AD3","PHACTR1",2462
"MT-CO26","counts.GSM4888893_AD3","MT-CO2",4340
"MACROD26","counts.GSM4888893_AD3","MACROD2",1928
"ROBO26","counts.GSM4888893_AD3","ROBO2",1606
"MALAT17","counts.GSM4888894_AD4","MALAT1",4341
"MT-RNR27","counts.GSM4888894_AD4","MT-RNR2",4558
"KCNIP47","counts.GSM4888894_AD4","KCNIP4",1922
"RBFOX17","counts.GSM4888894_AD4","RBFOX1",2252
"MT-RNR17","counts.GSM4888894_AD4","MT-RNR1",4469
"MT-CO37","counts.GSM4888894_AD4","MT-CO3",4407
"PHACTR17","counts.GSM4888894_AD4","PHACTR1",2462
"MT-CO27","counts.GSM4888894_AD4","MT-CO2",4340
"MACROD27","counts.GSM4888894_AD4","MACROD2",1928
"ROBO27","counts.GSM4888894_AD4","ROBO2",1606
"MALAT18","counts.GSM4888895_PD1","MALAT1",4341
"MT-RNR28","counts.GSM4888895_PD1","MT-RNR2",4558
"KCNIP48","counts.GSM4888895_PD1","KCNIP4",1922
"RBFOX18","counts.GSM4888895_PD1","RBFOX1",2252
"MT-RNR18","counts.GSM4888895_PD1","MT-RNR1",4469
"MT-CO38","counts.GSM4888895_PD1","MT-CO3",4407
"PHACTR18","counts.GSM4888895_PD1","PHACTR1",2462
"MT-CO28","counts.GSM4888895_PD1","MT-CO2",4340
"MACROD28","counts.GSM4888895_PD1","MACROD2",1928
"ROBO28","counts.GSM4888895_PD1","ROBO2",1606
"MALAT19","counts.GSM4888896_PD2","MALAT1",4341
"MT-RNR29","counts.GSM4888896_PD2","MT-RNR2",4558
"KCNIP49","counts.GSM4888896_PD2","KCNIP4",1922
"RBFOX19","counts.GSM4888896_PD2","RBFOX1",2252
"MT-RNR19","counts.GSM4888896_PD2","MT-RNR1",4469
"MT-CO39","counts.GSM4888896_PD2","MT-CO3",4407
"PHACTR19","counts.GSM4888896_PD2","PHACTR1",2462
"MT-CO29","counts.GSM4888896_PD2","MT-CO2",4340
"MACROD29","counts.GSM4888896_PD2","MACROD2",1928
"ROBO29","counts.GSM4888896_PD2","ROBO2",1606
"MALAT110","counts.GSM4888897_PD3","MALAT1",4341
"MT-RNR210","counts.GSM4888897_PD3","MT-RNR2",4558
"KCNIP410","counts.GSM4888897_PD3","KCNIP4",1922
"RBFOX110","counts.GSM4888897_PD3","RBFOX1",2252
"MT-RNR110","counts.GSM4888897_PD3","MT-RNR1",4469
"MT-CO310","counts.GSM4888897_PD3","MT-CO3",4407
"PHACTR110","counts.GSM4888897_PD3","PHACTR1",2462
"MT-CO210","counts.GSM4888897_PD3","MT-CO2",4340
"MACROD210","counts.GSM4888897_PD3","MACROD2",1928
"ROBO210","counts.GSM4888897_PD3","ROBO2",1606
"MALAT111","counts.GSM4888898_PD4","MALAT1",4341
"MT-RNR211","counts.GSM4888898_PD4","MT-RNR2",4558
"KCNIP411","counts.GSM4888898_PD4","KCNIP4",1922
"RBFOX111","counts.GSM4888898_PD4","RBFOX1",2252
"MT-RNR111","counts.GSM4888898_PD4","MT-RNR1",4469
"MT-CO311","counts.GSM4888898_PD4","MT-CO3",4407
"PHACTR111","counts.GSM4888898_PD4","PHACTR1",2462
"MT-CO211","counts.GSM4888898_PD4","MT-CO2",4340
"MACROD211","counts.GSM4888898_PD4","MACROD2",1928
"ROBO211","counts.GSM4888898_PD4","ROBO2",1606
